WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW
W                            W                          E WW
W                           WWG                           WW
W                          WGGGW                          WW
W                         WGGGGGW                         WW
W                        WGGGGGGGW                        WW
W                       WGGGGGGGGGW                       WW
W                      WGGGGGGGGGGGW                      WW
W                     WGGGGGGGGGGGGGW                     WW
W                    WGGGGGGGGGGGGGGGW                    WW
W                   WGGGGGGGGGGGGGGGGGW                   WW
W                  WGGGGGGGGGGGGGGGGGGGW                  WW
W                 WGGGGGGGGGGGGGGGGGGGGGW                 WW
W                WGGGGGGGGGGGGGGGGGGGGGGGW                WW
W                WGGGGGGGGGGGGGGGGGGGGGGGW                WW
W                WWWWWWWWWWWWGWWWWWWWWWWWW                WW
W                WGGGGGGGGGGGGGGGGGGGGGGGW                WW
W                WGGGGGGGGGGGGGGGGGGGGGGGW                WW
W                 WGGGGGGGGGGGGGGGGGGGGGW                 WW
W                  WGGGGGGGGGGGGGGGGGGGW                  WW
W                   WGGGGGGGGGGGGGGGGGW                   WW
W                    WGGGGGGGGGGGGGGGW                    WW
W                     WGGGGGGGGGGGGGW                     WW
W                     WGGGGGGGGGGGGGW                     WW
W                      WGGGGGGGGGGGW                      WW
W                       WGGGGGGGGGW                       WW
W                        WGGGGGGGW                        WW
W                         WGGGGGW                         WW
W                          WGGGW                          WW
W J                         GWW                           WW
WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW
